"channel_id","date","time","utc_time","along_channel_distance","CoordX","CoordY","longitude","latitude","water_surface_elevation_NAVD88","water_surface_elevation_WGS84","water_surface_elevation_uncertainty"
"WLO","2015-05-08","11:15:10",40510,17150,653490.35,3275052.14,-91.4150512,29.5958486,0.769,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17200,653474.39,3275004.76,-91.4152226,29.5954232,0.768,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17250,653458.43,3274957.37,-91.415394,29.5949976,0.767,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17300,653442.46,3274909.99,-91.4155656,29.5945721,0.767,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17350,653426.5,3274862.61,-91.415737,29.5941466,0.766,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17400,653410.54,3274815.22,-91.4159084,29.5937211,0.766,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17450,653394.57,3274767.84,-91.41608,29.5932956,0.766,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17500,653378.61,3274720.46,-91.4162514,29.5928701,0.765,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17550,653362.65,3274673.07,-91.4164228,29.5924445,0.764,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17600,653346.68,3274625.69,-91.4165943,29.592019,0.764,-24.535,0.074
"WLO","2015-05-08","11:15:10",40510,17650,653330.72,3274578.31,-91.4167658,29.5915936,0.763,-24.535,0.075
"WLO","2015-05-08","11:15:10",40510,21950,652487.57,3270370.01,-91.4260581,29.5537308,0.676,-24.542,0.075
"WLO","2015-05-08","11:15:10",40510,22000,652480.86,3270320.46,-91.4261343,29.5532846,0.674,-24.543,0.075
"WLO","2015-05-08","11:15:10",40510,23650,652043.93,3268729.77,-91.4308645,29.538987,0.622,-24.563,0.076
"WLO","2015-05-08","11:15:10",40510,23700,652030.51,3268681.61,-91.4310096,29.5385541,0.622,-24.563,0.075
"WLO","2015-05-08","11:15:10",40510,23750,652017.1,3268633.44,-91.4311547,29.5381212,0.621,-24.562,0.075
"WLO","2015-05-08","11:15:10",40510,23800,652003.68,3268585.27,-91.4312999,29.5376882,0.62,-24.562,0.074
"WLO","2015-05-08","11:15:10",40510,23850,651990.27,3268537.11,-91.4314449,29.5372553,0.62,-24.562,0.074
"WLO","2015-05-08","11:15:10",40510,23900,651976.85,3268488.94,-91.4315901,29.5368224,0.619,-24.561,0.074
"WLO","2015-05-08","11:15:10",40510,23950,651963.43,3268440.77,-91.4317353,29.5363895,0.619,-24.561,0.074
"WLO","2015-05-08","11:15:10",40510,24000,651950.02,3268392.61,-91.4318803,29.5359566,0.618,-24.561,0.074
"WLO","2015-05-08","11:15:10",40510,24050,651936.6,3268344.44,-91.4320255,29.5355236,0.618,-24.56,0.074
"WLO","2015-05-08","11:15:10",40510,24100,651923.19,3268296.27,-91.4321705,29.5350907,0.617,-24.56,0.074
"WLO","2015-05-08","11:15:10",40510,24150,651909.77,3268248.11,-91.4323157,29.5346578,0.616,-24.56,0.074
"WLO","2015-05-08","11:15:10",40510,24200,651896.36,3268199.94,-91.4324607,29.5342249,0.616,-24.56,0.074
"WLO","2015-05-08","11:15:10",40510,24250,651882.94,3268151.77,-91.4326059,29.5337919,0.615,-24.56,0.074
"WLO","2015-05-08","11:15:10",40510,24300,651869.53,3268103.61,-91.4327509,29.5333591,0.614,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24350,651856.11,3268055.44,-91.4328961,29.5329261,0.613,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24400,651842.7,3268007.27,-91.4330411,29.5324932,0.613,-24.559,0.074
"WLO","2015-05-08","11:15:10",40510,24450,651829.28,3267959.11,-91.4331863,29.5320603,0.612,-24.559,0.074
